2021-03-09 17:22:21, 0:00:42.118000, 每天一遍
2021-03-09 17:56:48, 0:04:43.366000, 全线承包
2021-03-09 20:11:23, 0:00:40.813000, 我同意捐献我自己的(●—●)
2021-03-09 20:15:51, 0:01:40.547000, 农村病死也不见得能得到捐献，那么谁得到了
2021-03-09 20:21:35, 0:02:14.357000, 泪目
2021-03-09 20:53:52, 0:02:14.837000, 泪目
2021-03-09 21:26:07, 0:02:15.813000, 泪目
2021-03-09 21:28:42, 0:00:05.796000, 震撼
2021-03-09 21:28:47, 0:00:10.796000, 震撼
2021-03-09 21:46:01, 0:02:16.584000, 泪目
2021-03-09 21:53:36, 0:03:32.967000, 我突然想 死就死了！不想被分尸  死的完整！
2021-03-09 22:13:40, 0:02:24.297000, 7%不到的概率
2021-03-09 22:27:48, 0:00:11.979000, 前面那个盈利的你有证据吗？别动不动自以为是地给人扣罪名
2021-03-09 22:28:26, 0:02:09.502000, 我很自私，我不给
2021-03-09 22:30:10, 0:04:23.499000, 304.7万人有我一个
2021-03-09 22:32:16, 0:03:20.796000, 很理解这种情绪
2021-03-09 22:33:21, 0:02:11.922000, 赖皮蛇
2021-03-09 22:34:25, 0:00:37.700000, 我加入了器官捐献志愿者
2021-03-09 22:37:29, 0:00:52.989000, 我愿意在自己死透了后捐
2021-03-09 22:37:44, 0:02:05.355000, 周围接触到的人性的恶不值得捐
2021-03-09 22:38:34, 0:01:02.367000, 关键是在生离死别的关头，你问别人这个，谁受得了，谁不希望家人能度过难关呢
2021-03-09 22:38:41, 0:01:20.779000, 请一定级别的公务员签署捐赠意向书
2021-03-09 22:39:13, 0:01:41.441000, 踩了，别现在道德制高点，这种事情每个人都有每个人的感受
2021-03-09 22:39:33, 0:04:50.257000, 泪目
2021-03-09 22:39:37, 0:04:23.779000, 有我一个
2021-03-09 22:40:45, 0:04:22.413000, 有我一个
2021-03-09 22:40:50, 0:02:40.269000, 植物人也是脑死亡啊
2021-03-09 22:41:30, 0:00:34.139000, 我愿意捐！
2021-03-09 22:42:30, 0:00:22.830000, 鬼！
2021-03-09 22:43:35, 0:02:38.556000, 活着不能兼济天下，独善其身，望死后能捐献我的器官！
2021-03-09 22:44:41, 0:02:28.759000, 穷人也没钱移植
2021-03-09 22:46:12, 0:00:43.037000, 。。。。
2021-03-09 22:49:24, 0:04:26.404000, 等我十八岁我也去
2021-03-09 22:49:59, 0:01:41.226000, 他们这么伟大是不是都会在自己死了之后奉献自己。
2021-03-09 22:50:50, 0:01:44.979000, 不好意思，我是不会捐的。
2021-03-09 22:51:02, 0:00:16.720000, gun
2021-03-09 22:51:40, 0:00:30.259000, 似你，阿dee？
2021-03-09 22:52:52, 0:00:15.391000, 我接受不了
2021-03-09 22:53:16, 0:01:39.090000, 挺无奈的，器官能保持活性的时间就那么长，家属说不定又悲伤过度。
2021-03-09 22:53:31, 0:01:29.526000, 不可能
2021-03-09 22:53:43, 0:04:53.568000, 我只问，那些所谓的有钱人捐献不，明星捐献不……
2021-03-09 22:53:47, 0:00:28.150000, 太吓人了
2021-03-09 22:55:10, 0:01:39.732000, 正相反 更多富豪是受捐者
2021-03-09 22:55:40, 0:04:35.192000, 可是人家还没停
2021-03-09 22:55:58, 0:02:14.311000, 公务员捐的那个，他们不是人家的家人?
2021-03-09 22:56:20, 0:04:52.677000, 没熄灭就强行熄灭
2021-03-09 22:56:43, 0:02:46.588000, 世间安得双全法
2021-03-09 22:56:55, 0:01:41.463000, 人家人刚死你问这个，容易被打啊
2021-03-09 22:59:12, 0:00:19.261000, 我希望自己完完整整地死去
2021-03-09 22:59:16, 0:00:28.394000, 再过一段时间再来看弹幕养肥了再说
2021-03-09 22:59:20, 0:04:53.237000, 哭死了
2021-03-09 23:01:10, 0:00:19.911000, 死了还怎么问你说
2021-03-09 23:01:12, 0:02:45.059000, 不不要
2021-03-09 23:01:30, 0:00:40.598000, 皮条客
2021-03-09 23:02:17, 0:00:34.101000, 我希望能帮助别人
2021-03-09 23:03:21, 0:01:03.442000, 大家忘了前段时间出事了吗？
2021-03-09 23:03:45, 0:02:02.369000, 可以帮助更多的人，可以换种方式活着
2021-03-09 23:03:58, 0:02:36.341000, 我不信你从别人身上割下器官送给别人，只为得到一句谢谢？
2021-03-09 23:04:10, 0:01:52.194000, 前段时间到底什么时候被摘掉的都不知道，还被卖钱了
2021-03-09 23:04:17, 0:00:31.419000, 放心吧，你捐出去的都会高价贩卖的
2021-03-09 23:05:05, 0:01:05.494000, 我愿意 希望我的最后一刻依然可以帮到大家
2021-03-09 23:05:22, 0:03:45.434000, 到最后了捐献器官的时候，器官捐献者的意见反而不重要了。。。
2021-03-09 23:05:40, 0:01:23.774000, 这就道德绑架了吧，这个捐不捐还是全凭自愿的
2021-03-09 23:06:14, 0:01:08.428000, 和谐三部曲之虐杀器官当然是活着的时候
2021-03-09 23:06:19, 0:02:27.475000, 因为钱。
2021-03-09 23:06:43, 0:03:54.806000, 没必要说啥富人啥 只是另外一个法子活
2021-03-09 23:07:01, 0:00:01.579000, 问题有三点一无偿，接近3/4的家属问题二信任问题三教育问题，把大部分人都拒之门外
2021-03-09 23:07:43, 0:04:25.651000, 有我一个
2021-03-09 23:07:57, 0:01:31.209000, 这样的话我身体的一部分就可以继续代替我活在这个世界上
2021-03-09 23:08:06, 0:00:15.499000, 献出心脏？
2021-03-09 23:08:06, 0:01:53.889000, 你这个工作还招人吗
2021-03-09 23:08:17, 0:02:50.621000, 我不希望自己的器官成为富人的工具
2021-03-09 23:08:24, 0:01:17.636000, 不是不能捐，我不想我的器官，被人来赚钱！
2021-03-09 23:08:31, 0:04:29.064000, 我是其中一个
2021-03-09 23:09:58, 0:04:23.673000, 有我和我姐两个
2021-03-09 23:12:41, 0:01:24.269000, 张嘴就来
2021-03-09 23:13:19, 0:02:31.397000, 确实，是以另一种方式活下去
2021-03-09 23:13:27, 0:03:21.879000, 你不想给就别给啊 难不成有人逼着你捐？
2021-03-09 23:13:28, 0:00:40.350000, 滚
2021-03-09 23:13:52, 0:01:04.508000, 反正不可能捐
2021-04-23 11:07:27.556232, 0:04:44.399000, 即便有献血证，需要输血时也未必及时供应，器官捐献同样如此，我不知道它的透明度，这是不是一场权利的游
2021-03-09 23:14:13, 0:04:24.317000, 有我一个
2021-03-09 23:14:28, 0:04:44.941000, 希望大家都有希望
2021-03-09 23:16:02, 0:00:20.931000, 我已经无偿捐献了
2021-03-09 23:16:24, 0:00:47.784000, 献出你的心脏吧……
2021-03-09 23:16:32, 0:00:41.811000, 拒绝死缠烂打似的所谓捐赠！
2021-03-09 23:17:13, 0:01:00.669000, 有些人还没死捐了说不定其他人还能活
2021-03-09 23:17:29, 0:01:38.312000, 你们是盈利的让别人无偿捐献？？？
2021-03-09 23:18:00, 0:03:26.262000, 生化培养吧，加油读书人
2021-03-09 23:18:51, 0:02:58.812000, 你们用别人的器官来盈利，而让别人捐献？  
2021-03-09 23:19:40, 0:00:29.699000, 如果是我，我也会让他滚
2021-03-09 23:20:06, 0:00:35.039000, 如果说你决定捐献，他们可能不会全力救你，但如果你不选择，他们除了就你也别无选择
2021-03-09 23:20:27, 0:04:35.814000, 感受到你们的大爱，但还是自愿吧，别缠着人家。
2021-03-09 23:20:30, 0:04:25.705000, 有我们全家一份
2021-03-09 23:20:54, 0:03:50.036000, 黑市上有
2021-03-09 23:21:23, 0:04:54, 我是自私的，如果捐献可以为家人留下点东西，我愿意
2021-04-23 11:07:27.556232, 0:01:38.679000, 前面的你说的对，只要富豪们肯出钱，哪怕还可以救活的人，也会被判定无救，所以我从来不同意这
2021-03-09 23:22:26, 0:02:06.319000, 不是换种方式活着，是为富豪们养活
2021-03-09 23:23:07, 0:00:26.654000, 如果能用，就捐吧
2021-03-09 23:23:13, 0:03:06.532000, ……那我来一句救人一命胜造七级浮屠
2021-03-09 23:26:08, 0:02:02.175000, 心疼
2021-03-09 23:27:05, 0:04:36.499000, 我只献过血
2021-03-09 23:27:32, 0:04:21.839000, 我也是其中一员
2021-04-23 11:07:27.556232, 0:03:27.312000, 如果是我的话我感觉我会捐，反正我留着也没用，捐了也好，也算是活了，但是唯一不能接受的是捐给一个坏人
2021-03-09 23:32:09, 0:01:17.536000, 我很早就签了捐献所有器官，组织，眼角膜和遗体了
2021-03-09 23:32:33, 0:01:57.659000, 可以在人体器官捐献的官网申请调节员
2021-03-09 23:34:13, 0:04:30.327000, 你捐了穷人也用不到，服务有钱人了
2021-03-09 23:34:28, 0:04:26.600000, 生命的一种延续
